Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5,HomeTeamElo,AwayTeamElo,EloDifference,Home_AvgGoalsScored,Home_AvgGoalsConceded,Home_Wins,Home_Draws,Home_Losses,Away_AvgGoalsScored,Away_AvgGoalsConceded,Away_Wins,Away_Draws,Away_Losses,HTH_HomeWins,HTH_AwayWins,HTH_Draws,HTH_AvgHomeGoals,HTH_AvgAwayGoals
15/10/2022,20:00,Cambuur,Vitesse,0,3,A,2.57,3.56,2.57,1.71,2.12,1449.618333331509,1450.7059439224702,-1.087610590961276,0.8,2.0,1,1,3,0.6,1.4,1,1,3,0,0,0,0.0,0.0
16/10/2022,11:15,Sparta Rotterdam,Nijmegen,2,0,H,2.38,3.32,2.97,2.05,1.76,1531.2051468935222,1486.625469895045,44.579676998477225,2.2,1.4,3,1,1,0.6,0.6,0,5,0,0,0,0,0.0,0.0
16/10/2022,13:30,PSV Eindhoven,Utrecht,6,1,H,1.38,5.08,7.27,1.43,2.74,1575.5793452591877,1489.3613350323076,86.2180102268801,1.4,1.6,3,0,2,1.4,1.0,3,1,1,0,0,0,0.0,0.0
16/10/2022,13:30,Twente,Groningen,3,0,H,1.4,4.7,7.53,1.69,2.15,1536.9807313960812,1445.3207192686134,91.66001212746778,1.4,1.2,2,1,2,1.0,2.0,1,0,4,0,0,0,0.0,0.0
16/10/2022,15:45,AZ Alkmaar,Feyenoord,1,3,A,2.48,3.57,2.66,1.72,2.1,1576.8070743637202,1579.3422315116652,-2.5351571479450286,2.4,0.8,4,1,0,2.6,1.6,3,1,1,0,0,0,0.0,0.0
16/10/2022,19:00,Ajax,Excelsior,7,1,H,1.06,13.5,29.8,1.12,5.72,1580.670647932562,1456.641721568453,124.02892636410888,3.0,1.0,3,1,1,1.0,1.8,1,1,3,0,0,0,0.0,0.0
22/10/2022,15:30,Feyenoord,For Sittard,1,1,D,1.2,7.15,11.45,1.33,3.26,1575.2557657278865,1486.3246558144972,88.93110991338926,2.4,1.2,3,1,1,1.2,0.4,3,2,0,0,0,0,0.0,0.0
22/10/2022,17:45,Waalwijk,Ajax,1,4,A,9.45,6.52,1.25,1.32,3.3,1500.48859026098,1592.7682633962233,-92.27967313524346,2.0,1.2,2,2,1,3.6,1.2,3,1,1,0,0,0,0.0,0.0
22/10/2022,20:00,Vitesse,FC Emmen,2,1,H,1.8,3.72,4.28,1.8,2.01,1465.0444170345668,1421.034993146933,44.00942388763383,1.0,1.4,1,1,3,0.6,1.6,0,2,3,0,0,0,0.0,0.0
23/10/2022,11:15,Excelsior,AZ Alkmaar,2,1,H,7.35,5.23,1.37,1.47,2.63,1476.6322539599626,1556.8165419722106,-80.18428801224809,0.8,2.2,1,1,3,2.0,1.4,3,1,1,0,0,0,0.0,0.0
23/10/2022,13:30,Cambuur,Twente,0,1,A,4.34,3.88,1.75,1.69,2.16,1438.3125399660905,1548.2865247614995,-109.97398479540902,0.8,1.8,1,1,3,1.6,1.0,2,1,2,0,0,0,0.0,0.0
23/10/2022,13:30,Groningen,PSV Eindhoven,4,2,H,8.88,5.33,1.32,1.51,2.5,1465.6949619252036,1555.2051026025974,-89.51014067739379,1.0,2.4,1,0,4,2.4,1.4,4,0,1,0,0,0,0.0,0.0
23/10/2022,13:30,Nijmegen,Go Ahead Eagles,3,3,D,1.97,3.46,3.85,1.99,1.81,1485.9088597477685,1470.7310438347859,15.177815912982624,0.6,1.0,0,4,1,1.4,0.8,2,3,0,0,0,0,0.0,0.0
23/10/2022,15:45,Utrecht,Sparta Rotterdam,3,1,H,1.74,3.78,4.53,1.81,1.99,1506.1591934347318,1514.407288491098,-8.248095056366083,0.8,1.6,2,1,2,1.8,1.4,3,1,1,0,0,0,0.0,0.0
