HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg>2.5,Avg<2.5
Montpellier,Amiens,4,2,H,1.78,3.46,4.85,2.28,1.62
Nice,Angers,3,1,H,2.59,3.03,2.95,2.41,1.56
Nimes,Metz,1,1,D,2.01,3.3,3.95,2.26,1.64
Reims,Bordeaux,1,1,D,2.04,3.09,4.19,2.74,1.45
Nantes,Toulouse,2,1,H,1.8,3.49,4.75,2.08,1.75
Rennes,St Etienne,2,1,H,1.98,3.34,4.03,2.18,1.69
Angers,Marseille,0,2,A,2.92,3.24,2.51,2.12,1.73
Bordeaux,Nimes,6,0,H,1.92,3.34,4.38,2.26,1.64
Brest,Strasbourg,5,0,H,3.4,3.18,2.27,2.3,1.62
Lyon,Lille,0,1,A,2.0,3.49,3.81,1.9,1.91
Dijon,Montpellier,2,2,D,3.08,3.08,2.47,2.46,1.54
Metz,Rennes,0,1,A,3.01,3.06,2.54,2.54,1.52
St Etienne,Nice,4,1,H,2.36,3.29,3.07,2.13,1.72
Toulouse,Monaco,1,2,A,3.86,3.8,1.88,1.69,2.18
Paris SG,Nantes,2,0,H,1.15,7.69,18.03,1.46,2.69
Lille,Brest,1,0,H,1.37,4.87,8.67,1.79,2.04
Nimes,Lyon,0,4,A,4.41,4.0,1.75,1.73,2.1
Montpellier,Paris SG,1,3,A,6.57,4.55,1.47,1.59,2.33
Monaco,Amiens,3,0,H,1.45,4.63,6.82,1.63,2.27
Nice,Metz,4,1,H,1.79,3.51,4.79,2.06,1.76
Rennes,Angers,2,1,H,2.11,3.21,3.75,2.21,1.67
Strasbourg,Toulouse,4,2,H,1.7,3.87,4.89,1.9,1.9
